,concept:name,org:resource,time:timestamp,Activity,Resource,lifecycle:transition,eventId,case:concept
0,,0,2020-03-16 00:00:00+00:00,go_wardrobe,0,complete,0,process_case
1,get_clothes,0,2020-03-16 00:00:00+00:00,get_clothes,0,start,1,process_case
2,noise 20,0,2020-03-16 00:00:00+00:00,noise 20,0,complete,2,process_case
3,get_clothes,0,2020-03-16 00:01:00+00:00,get_clothes,0,complete,3,process_case
4,change_clothes,0,2020-03-16 00:01:00+00:00,change_clothes,0,start,4,process_case
5,change_clothes,0,2020-03-16 00:05:00+00:00,change_clothes,0,complete,5,process_case
6,go_bathtub,0,2020-03-16 00:05:00+00:00,go_bathtub,0,complete,6,process_case
7,go_bathtub,0,2020-03-16 00:06:00+00:00,go_bathtub,0,complete,7,process_case
8,have_bath,0,2020-03-16 00:06:00+00:00,have_bath,0,start,8,process_case
9,noise 40,0,2020-03-16 00:06:00+00:00,noise 40,0,complete,9,process_case
10,have_bath,0,2020-03-16 00:30:00+00:00,have_bath,0,complete,10,process_case
11,go_bathroom_sink,0,2020-03-16 00:30:00+00:00,go_bathroom_sink,0,complete,11,process_case
12,brush_teeth,0,2020-03-16 00:30:00+00:00,brush_teeth,0,start,12,process_case
13,noise 20,0,2020-03-16 00:30:00+00:00,noise 20,0,complete,13,process_case
14,brush_teeth,0,2020-03-16 00:36:00+00:00,brush_teeth,0,complete,14,process_case
15,go_bed,0,2020-03-16 00:36:00+00:00,go_bed,0,complete,15,process_case
16,sleep_in_bed,0,2020-03-16 00:36:00+00:00,sleep_in_bed,0,start,16,process_case
17,noise 2,0,2020-03-16 00:36:00+00:00,noise 2,0,complete,17,process_case
18,sleep_in_bed,0,2020-03-16 07:33:00+00:00,sleep_in_bed,0,complete,18,process_case
19,go_wardrobe,0,2020-03-16 07:33:00+00:00,go_wardrobe,0,complete,19,process_case
20,change_clothes,0,2020-03-16 07:33:00+00:00,change_clothes,0,start,20,process_case
21,noise 20,0,2020-03-16 07:33:00+00:00,noise 20,0,complete,21,process_case
22,change_clothes,0,2020-03-16 07:38:00+00:00,change_clothes,0,complete,22,process_case
23,go_kitchen_shelf,0,2020-03-16 07:38:00+00:00,go_kitchen_shelf,0,complete,23,process_case
24,get_glass,0,2020-03-16 07:38:00+00:00,get_glass,0,start,24,process_case
25,noise 20,0,2020-03-16 07:38:00+00:00,noise 20,0,complete,25,process_case
26,get_glass,0,2020-03-16 07:39:00+00:00,get_glass,0,complete,26,process_case
27,go_kitchen_sink,0,2020-03-16 07:39:00+00:00,go_kitchen_sink,0,complete,27,process_case
28,get_water,0,2020-03-16 07:39:00+00:00,get_water,0,start,28,process_case
29,noise 20,0,2020-03-16 07:39:00+00:00,noise 20,0,complete,29,process_case
30,get_water,0,2020-03-16 07:39:00+00:00,get_water,0,complete,30,process_case
31,drink_water,0,2020-03-16 07:39:00+00:00,drink_water,0,start,31,process_case
32,noise 10,0,2020-03-16 07:39:00+00:00,noise 10,0,complete,32,process_case
33,drink_water,0,2020-03-16 07:40:00+00:00,drink_water,0,complete,33,process_case
34,go_computer,0,2020-03-16 07:40:00+00:00,go_computer,0,complete,34,process_case
35,go_computer,0,2020-03-16 07:41:00+00:00,go_computer,0,complete,35,process_case
36,clean,0,2020-03-16 07:41:00+00:00,clean,0,start,36,process_case
37,noise 30,0,2020-03-16 07:41:00+00:00,noise 30,0,complete,37,process_case
38,clean,0,2020-03-16 08:02:00+00:00,clean,0,complete,38,process_case
39,go_book_shelf,0,2020-03-16 08:02:00+00:00,go_book_shelf,0,complete,39,process_case
40,clean,0,2020-03-16 08:02:00+00:00,clean,0,start,40,process_case
41,noise 30,0,2020-03-16 08:02:00+00:00,noise 30,0,complete,41,process_case
42,go_wardrobe,0,2020-03-16 08:10:00+00:00,go_wardrobe,0,complete,42,process_case
43,change_clothes,0,2020-03-16 08:10:00+00:00,change_clothes,0,start,43,process_case
44,noise 20,0,2020-03-16 08:10:00+00:00,noise 20,0,complete,44,process_case
45,change_clothes,0,2020-03-16 08:14:00+00:00,change_clothes,0,complete,45,process_case
46,go_shoe_shelf,0,2020-03-16 08:14:00+00:00,go_shoe_shelf,0,complete,46,process_case
47,go_shoe_shelf,0,2020-03-16 08:15:00+00:00,go_shoe_shelf,0,complete,47,process_case
48,dress_up_outdoor,0,2020-03-16 08:15:00+00:00,dress_up_outdoor,0,start,48,process_case
49,noise 20,0,2020-03-16 08:15:00+00:00,noise 20,0,complete,49,process_case
50,dress_up_outdoor,0,2020-03-16 08:20:00+00:00,dress_up_outdoor,0,complete,50,process_case
